,name,bonus,goals,assists,minutes,penalties_missed,penalties_saved,clean_sheets,points,reds,yellows,team,position,cost
349,Cody Drameh,0,0,0,0,0,0,0,0,0,0,LEE,DEF,40
350,James Milner,2,0,2,1056,0,0,4,44,0,3,LIV,MID,53
351,Konstantinos Tsimikas,0,0,0,6,0,0,0,2,0,0,LIV,DEF,49
352,Georginio Wijnaldum,3,2,1,2938,0,0,10,97,0,1,LIV,MID,53
353,Jordan Henderson,2,1,2,1704,0,0,4,56,0,0,LIV,MID,54
354,Adrián San Miguel del Castillo,2,0,0,270,0,0,1,11,0,0,LIV,GKP,42
355,Joel Matip,5,1,2,690,0,0,3,42,0,2,LIV,DEF,54
356,Xherdan Shaqiri,1,0,2,548,0,0,2,26,0,2,LIV,MID,64
357,Alex Oxlade-Chamberlain,0,1,1,243,0,0,0,21,0,0,LIV,MID,63
358,Roberto Firmino,15,9,8,2837,0,0,10,141,0,2,LIV,FWD,91
359,Virgil van Dijk,1,1,0,370,0,0,1,15,0,1,LIV,DEF,62
360,Sadio Mané,14,11,11,2808,0,0,12,176,0,3,LIV,MID,118
361,Alisson Ramses Becker,13,1,0,2970,0,1,10,140,0,1,LIV,GKP,60
362,Fabio Henrique Tavares,2,0,2,2566,0,0,11,71,0,6,LIV,MID,54
363,Mohamed Salah,21,22,6,3077,0,0,11,231,0,0,LIV,MID,129
364,Andrew Robertson,19,1,8,3384,0,0,12,161,0,2,LIV,DEF,73
365,Divock Origi,0,0,0,180,0,0,1,10,0,0,LIV,FWD,51
366,Harry Wilson,0,0,0,0,0,0,0,0,0,0,LIV,MID,51
367,Trent Alexander-Arnold,26,2,8,3029,0,0,10,160,0,2,LIV,DEF,78
368,Joseph Gomez,0,0,0,589,0,0,0,10,0,0,LIV,DEF,52
369,Naby Keita,0,0,0,517,0,0,2,15,0,1,LIV,MID,52
370,Curtis Jones,0,1,2,1169,0,0,5,50,0,2,LIV,MID,44
371,Neco Williams,0,0,0,247,0,0,1,11,0,1,LIV,DEF,38
372,Harvey Elliott,0,0,0,0,0,0,0,0,0,0,LIV,MID,43
373,Diogo Jota,9,9,0,1106,0,0,4,86,0,2,LIV,MID,69
374,Thiago Alcántara do Nascimento,1,1,0,1851,0,0,8,55,0,4,LIV,MID,55
375,Caoimhin Kelleher,0,0,0,180,0,0,1,10,0,0,LIV,GKP,45
376,Nathaniel Phillips,1,1,1,1455,0,0,7,68,0,2,LIV,DEF,42
377,Rhys Williams,1,0,0,659,0,0,3,28,0,0,LIV,DEF,40
378,Leighton Clarkson,0,0,0,0,0,0,0,0,0,0,LIV,MID,45
379,Jake Cain,0,0,0,0,0,0,0,0,0,0,LIV,MID,45
380,Ozan Kabak,1,0,0,801,0,0,3,26,0,3,LIV,DEF,50
381,Ben Davies,0,0,0,0,0,0,0,0,0,0,LIV,DEF,47
382,Liam Hughes,0,0,0,0,0,0,0,0,0,0,LIV,GKP,40
383,Jakub Ojrzynski,0,0,0,0,0,0,0,0,0,0,LIV,GKP,40
384,Ben Woodburn,0,0,0,0,0,0,0,0,0,0,LIV,MID,45
385,Billy Koumetio,0,0,0,0,0,0,0,0,0,0,LIV,DEF,40
386,Fernando Luiz Rosa,8,0,2,1182,0,0,7,65,0,6,MCI,DEF,54
387,Claudio Bravo,0,0,0,0,0,0,0,0,0,0,MCI,GKP,45
388,Sergio Agüero,3,4,1,554,1,0,4,38,0,0,MCI,FWD,103
389,Nicolás Otamendi,0,0,0,0,0,0,0,0,0,0,MCI,DEF,49
390,Kyle Walker,7,1,1,1944,0,0,9,91,0,1,MCI,DEF,61
391,Ilkay Gündogan,22,13,4,2025,1,0,12,157,0,1,MCI,MID,55
392,Kevin De Bruyne,19,6,12,1995,1,0,12,141,0,1,MCI,MID,118
393,John Stones,11,4,0,1933,0,0,14,128,1,0,MCI,DEF,51
394,Benjamin Mendy,8,2,1,951,0,0,5,63,0,2,MCI,DEF,59
395,Riyad Mahrez,15,9,8,1945,0,0,11,145,0,0,MCI,MID,81
396,Raheem Sterling,10,10,9,2534,1,0,14,154,0,4,MCI,MID,109
397,João Pedro Cavaco Cancelo,18,2,4,2298,0,0,14,138,1,5,MCI,DEF,58
398,Ederson Santana de Moraes,3,0,1,3240,0,1,19,160,0,3,MCI,GKP,61
399,Nathan Aké,1,1,0,797,0,0,3,29,0,4,MCI,DEF,54
400,Aymeric Laporte,4,0,0,1343,0,0,7,58,0,1,MCI,DEF,60
401,Bernardo Mota Veiga de Carvalho e Silva,9,2,7,2063,0,0,11,94,0,5,MCI,MID,74
402,Gabriel Fernando de Jesus,16,9,5,2056,0,0,11,115,0,2,MCI,FWD,91
403,Oleksandr Zinchenko,5,0,0,1473,0,0,8,69,0,0,MCI,DEF,55
404,Phil Foden,17,9,8,1607,0,0,6,135,0,0,MCI,MID,61
405,Tommy Doyle,0,0,0,0,0,0,0,0,0,0,MCI,MID,44
406,Rodrigo Hernandez,5,2,2,2747,0,0,13,91,0,6,MCI,MID,53
407,Ferran Torres,4,7,4,1297,0,0,7,95,0,1,MCI,MID,70
408,Eric Garcia,0,0,0,380,0,0,0,6,0,0,MCI,DEF,47
409,Adrián Bernabé,0,0,0,0,0,0,0,0,0,0,MCI,MID,45
410,Zack Steffen,0,0,0,90,0,0,0,2,0,0,MCI,GKP,44
411,Liam Delap,0,0,0,39,0,0,0,1,0,0,MCI,FWD,42
412,Cole Palmer,0,0,0,0,0,0,0,0,0,0,MCI,MID,44
413,Rúben Santos Gato Alves Dias,12,1,1,2843,0,0,17,142,0,4,MCI,DEF,59
414,James Trafford,0,0,0,0,0,0,0,0,0,0,MCI,GKP,40
415,Scott Carson,1,0,0,90,0,1,0,7,0,0,MCI,GKP,39
416,Felix Nmecha,0,0,0,0,0,0,0,0,0,0,MCI,MID,45
417,Luke Mbete,0,0,0,0,0,0,0,0,0,0,MCI,DEF,40
418,Taylor Harwood-Bellis,0,0,0,0,0,0,0,0,0,0,MCI,DEF,40
419,Claudio Gomes,0,0,0,0,0,0,0,0,0,0,MCI,MID,45
420,Sergio Romero,0,0,0,0,0,0,0,0,0,0,MUN,GKP,49
421,Juan Mata,3,1,3,507,0,0,1,32,0,0,MUN,MID,58
422,David de Gea,4,0,0,2295,0,0,9,91,0,0,MUN,GKP,53
423,Chris Smalling,0,0,0,0,0,0,0,0,0,0,MUN,DEF,49
424,Odion Ighalo,0,0,0,9,0,0,0,1,0,0,MUN,FWD,61
425,Marcos Rojo,0,0,0,0,0,0,0,0,0,0,MUN,DEF,48
426,Nemanja Matic,0,0,1,1101,0,0,4,36,0,2,MUN,MID,47
427,Paul Pogba,11,3,6,1892,0,0,5,92,0,3,MUN,MID,76
428,Phil Jones,0,0,0,0,0,0,0,0,0,0,MUN,DEF,48
429,Harry Maguire,8,2,2,3047,0,0,13,124,0,11,MUN,DEF,55
430,Frederico Rodrigues de Paula Santos,1,1,0,2389,0,0,12,69,0,5,MUN,MID,53
431,Luke Shaw,22,1,5,2653,0,0,10,124,0,8,MUN,DEF,55
432,Bruno Miguel Borges Fernandes,36,18,14,3101,1,0,13,244,0,6,MUN,MID,113
433,Anthony Martial,3,4,7,1477,0,0,4,75,1,0,MUN,FWD,86
434,Andreas Pereira,0,0,0,0,0,0,0,0,0,0,MUN,MID,48
435,Dean Henderson,1,0,0,1125,0,0,4,44,0,3,MUN,GKP,52
436,Marcus Rashford,9,11,11,2917,0,0,12,174,0,4,MUN,MID,96
437,Axel Tuanzebe,0,0,0,402,0,0,0,7,0,2,MUN,DEF,41
438,Victor Lindelöf,3,1,1,2585,0,0,10,102,0,0,MUN,DEF,48
439,Scott McTominay,4,4,2,2124,0,0,9,91,0,3,MUN,MID,49
440,Eric Bailly,6,0,0,915,0,0,3,31,0,3,MUN,DEF,48
441,Daniel James,1,3,1,907,0,0,4,43,0,3,MUN,MID,62
442,Timothy Fosu-Mensah,0,0,0,80,0,0,0,0,0,1,MUN,DEF,43
443,Aaron Wan-Bissaka,11,2,5,3060,0,0,13,144,0,3,MUN,DEF,58
444,José Diogo Dalot Teixeira,0,0,0,0,0,0,0,0,0,0,MUN,DEF,48
445,Mason Greenwood,9,7,2,1813,0,0,7,106,0,2,MUN,MID,73
446,Tahith Chong,0,0,0,0,0,0,0,0,0,0,MUN,MID,44
447,James Garner,0,0,0,0,0,0,0,0,0,0,MUN,MID,44
448,Brandon Williams,0,0,0,187,0,0,0,5,0,0,MUN,DEF,42
449,Teden Mengi,0,0,0,0,0,0,0,0,0,0,MUN,DEF,39
450,Donny van de Beek,0,1,2,511,0,0,0,32,0,1,MUN,MID,66
451,Alex Nicolao Telles,3,0,2,689,0,0,1,25,0,0,MUN,DEF,53
