,name,bonus,goals,assists,minutes,penalties_missed,penalties_saved,clean_sheets,points,reds,yellows,team,position,cost
587,Giovani Lo Celso,0,1,1,939,0,0,5,35,0,5,TOT,MID,69
588,Oliver Skipp,0,0,0,0,0,0,0,0,0,0,TOT,MID,44
589,Tanguy Ndombele,7,3,3,2086,0,0,12,99,0,3,TOT,MID,59
590,Juan Foyth,0,0,0,0,0,0,0,0,0,0,TOT,DEF,43
591,Matt Doherty,4,0,2,1238,0,0,4,47,1,2,TOT,DEF,56
592,Joe Hart,0,0,0,0,0,0,0,0,0,0,TOT,GKP,42
593,Cameron Carter-Vickers,0,0,0,0,0,0,0,0,0,0,TOT,DEF,39
594,Sergio Reguilón,4,0,6,2244,0,0,8,89,0,5,TOT,DEF,55
595,Gareth Bale,16,11,3,912,0,0,5,113,0,1,TOT,MID,92
596,Carlos Vinicius Alves Morais,0,1,0,305,0,0,1,13,0,2,TOT,FWD,69
597,Joe Rodon,3,0,0,732,0,0,2,27,0,0,TOT,DEF,49
598,Alfie Devine,0,0,0,0,0,0,0,0,0,0,TOT,MID,44
599,Dane Scarlett,0,0,0,1,0,0,0,1,0,0,TOT,FWD,45
600,Nile John,0,0,0,0,0,0,0,0,0,0,TOT,MID,45
601,Ainsley Maitland-Niles,1,0,2,1714,0,0,6,68,0,2,WBA,DEF,46
602,David Button,0,0,0,90,0,0,0,2,0,0,WBA,GKP,39
603,Callum Robinson,8,5,3,1552,0,0,3,79,0,0,WBA,FWD,52
604,Kieran Gibbs,0,0,0,810,0,0,0,5,1,1,WBA,DEF,43
605,Hal Robson-Kanu,3,2,0,544,0,0,0,30,0,2,WBA,FWD,52
606,Jake Livermore,0,0,0,1241,0,0,1,25,1,2,WBA,MID,47
607,Kamil Grosicki,0,0,1,147,0,0,0,8,0,0,WBA,MID,52
608,Matt Phillips,3,2,1,1815,0,0,3,69,0,1,WBA,MID,51
609,Kyle Bartley,3,3,1,2583,0,0,5,79,0,4,WBA,DEF,44
610,Romaine Sawyers,0,0,0,1486,0,0,1,33,0,2,WBA,MID,46
611,Ahmed El-Sayed Hegazy,0,0,0,90,0,0,1,6,0,0,WBA,DEF,41
612,Charlie Austin,0,0,0,135,0,0,0,5,0,0,WBA,FWD,51
613,Kenneth Zohore,0,0,0,0,0,0,0,0,0,0,WBA,FWD,48
614,Sam Johnstone,19,0,1,3330,0,1,6,140,0,1,WBA,GKP,46
615,Conor Townsend,8,0,2,2234,0,0,6,76,0,0,WBA,DEF,44
616,Oluwasemilogo Adesewo Ibidapo Ajayi,2,2,1,2779,0,0,1,51,1,3,WBA,DEF,48
617,Jonathan Leko,0,0,0,0,0,0,0,0,0,0,WBA,MID,45
618,Kyle Edwards,0,0,0,114,0,0,0,5,0,0,WBA,MID,46
619,Darnell Furlong,2,1,3,2931,0,0,6,79,0,5,WBA,DEF,45
620,Sam Field,0,0,0,61,0,0,0,3,0,0,WBA,MID,48
621,Dara O'Shea,1,0,0,2099,0,0,3,41,0,3,WBA,DEF,42
622,Rekeem Harper,0,0,0,30,0,0,0,2,0,0,WBA,MID,43
623,Robert Snodgrass,0,0,0,528,0,0,0,14,0,2,WBA,MID,56
624,Grady Diangana,0,1,0,1230,0,0,1,39,0,0,WBA,MID,50
625,Matheus Pereira,15,11,7,2574,0,0,6,153,1,2,WBA,MID,54
626,Cedric Kipre,0,0,0,0,0,0,0,0,0,0,WBA,DEF,43
627,Branislav Ivanovic,0,0,0,764,0,0,2,20,0,2,WBA,DEF,44
628,Conor Gallagher,3,2,2,2530,0,0,5,71,0,11,WBA,MID,55
629,Filip Krovinovic,0,0,0,541,0,0,1,17,0,0,WBA,MID,49
630,Karlan Grant,3,1,0,1120,0,0,3,41,0,1,WBA,FWD,56
631,Lee Peltier,0,0,0,228,0,0,0,2,0,1,WBA,DEF,39
632,Cheikh Diaby,0,0,0,0,0,0,0,0,0,0,WBA,FWD,45
633,Andy Lonergan,0,0,0,0,0,0,0,0,0,0,WBA,GKP,40
634,Mbaye Diagne,3,3,5,1188,0,0,4,57,0,2,WBA,FWD,60
635,Okay Yokuslu,0,0,1,1316,0,0,4,34,0,4,WBA,MID,45
636,Caleb Taylor,0,0,0,0,0,0,0,0,0,0,WBA,DEF,40
637,Taylor Gardner-Hickman,0,0,0,0,0,0,0,0,0,0,WBA,MID,45
638,Toby King,0,0,0,0,0,0,0,0,0,0,WBA,MID,45
639,Tim Iroegbunam,0,0,0,0,0,0,0,0,0,0,WBA,MID,45
640,Jesse Lingard,15,9,5,1423,1,0,4,106,0,3,WHU,MID,66
641,Mark Noble,0,0,0,701,0,0,0,27,0,1,WHU,MID,45
642,David Martin,0,0,0,0,0,0,0,0,0,0,WHU,GKP,39
643,Darren Randolph,0,0,0,270,0,0,1,10,0,0,WHU,GKP,43
644,Lukasz Fabianski,11,0,0,3150,0,1,10,133,0,2,WHU,GKP,50
645,Angelo Ogbonna,5,3,0,2492,0,0,9,100,0,5,WHU,DEF,47
646,Roberto Jimenez Gago,0,0,0,0,0,0,0,0,0,0,WHU,GKP,45
647,Jack Wilshere,0,0,0,0,0,0,0,0,0,0,WHU,MID,49
648,Aaron Cresswell,21,0,11,3170,0,0,11,153,0,3,WHU,DEF,57
649,Andriy Yarmolenko,0,0,1,362,0,0,1,17,0,3,WHU,MID,55
650,Michail Antonio,19,10,5,1972,0,0,6,118,0,3,WHU,FWD,67
651,Ryan Fredericks,0,1,1,564,0,0,1,28,0,2,WHU,DEF,42
652,Manuel Lanzini,0,1,1,556,0,0,1,28,0,1,WHU,MID,64
653,Felipe Anderson Pereira Gomes,0,0,0,2,0,0,0,2,0,0,WHU,MID,61
654,Sébastien Haller,4,3,0,932,0,0,3,41,0,0,WHU,FWD,61
655,Arthur Masuaku,4,0,2,1006,0,0,4,42,0,2,WHU,DEF,43
656,Fabián Balbuena,0,1,0,1197,0,0,4,39,1,1,WHU,DEF,41
657,Jordan Hugill,0,0,0,0,0,0,0,0,0,0,WHU,FWD,55
658,Jarrod Bowen,8,8,6,2556,0,0,9,141,0,0,WHU,MID,58
659,Albian Ajeti,0,0,0,0,0,0,0,0,0,0,WHU,FWD,55
660,Declan Rice,2,2,1,2880,1,0,11,86,0,2,WHU,MID,47
661,Tomas Soucek,16,10,2,3420,0,0,11,147,1,7,WHU,MID,52
662,Pablo Fornals,10,5,7,2571,0,0,9,125,0,3,WHU,MID,58
663,Issa Diop,1,2,0,1379,0,0,2,42,0,3,WHU,DEF,43
664,Ben Johnson,0,1,0,516,0,0,1,25,0,1,WHU,DEF,39
665,Vladimir Coufal,12,0,9,3054,0,0,9,128,0,3,WHU,DEF,48
666,Craig Dawson,3,3,0,1925,0,0,7,75,1,3,WHU,DEF,45
667,Saïd Benrahma,4,1,6,1376,0,0,3,73,0,0,WHU,MID,59
668,Frederik Alves,0,0,0,0,0,0,0,0,0,0,WHU,DEF,40
669,Ademipo Odubeko,0,0,0,0,0,0,0,0,0,0,WHU,FWD,45
670,Conor Coventry,0,0,0,0,0,0,0,0,0,0,WHU,MID,45
671,Jamal Baptiste,0,0,0,0,0,0,0,0,0,0,WHU,DEF,40
672,Nathan Trott,0,0,0,0,0,0,0,0,0,0,WHU,GKP,40
673,John Ruddy,0,0,0,91,0,0,0,4,0,0,WOL,GKP,43
674,João Filipe Iria Santos Moutinho,4,1,1,2526,0,0,6,73,1,3,WOL,MID,51
675,Rui Pedro dos Santos Patrício,12,0,0,3330,0,1,10,132,0,1,WOL,GKP,53
676,Ryan Bennett,0,0,0,0,0,0,0,0,0,0,WOL,DEF,44
677,Willy Boly,4,1,1,1879,0,0,6,68,0,2,WOL,DEF,54
678,Conor Coady,7,1,0,3303,0,0,10,106,0,5,WOL,DEF,49
679,Raúl Jiménez,7,4,1,824,0,0,4,43,0,0,WOL,FWD,81
680,Romain Saïss,11,3,0,2407,0,0,8,99,0,2,WOL,DEF,49
681,Jonathan Castro Otto,1,0,0,496,0,0,1,16,0,0,WOL,DEF,54
682,Léo Bonatini,0,0,0,0,0,0,0,0,0,0,WOL,FWD,48
683,Leander Dendoncker,2,1,2,2498,0,0,11,77,0,4,WOL,MID,46
684,Adama Traoré,5,2,4,2640,0,0,7,94,0,4,WOL,MID,60
685,Rúben Diogo da Silva Neves,10,5,1,2670,0,0,8,104,0,8,WOL,MID,51
686,Oskar Buur,0,0,0,22,0,0,0,1,0,0,WOL,DEF,39
687,Daniel Castelo Podence,5,3,2,1661,0,0,8,75,0,3,WOL,MID,53
688,Max Kilman,8,0,1,1307,0,0,5,58,0,4,WOL,DEF,38
689,Rúben Gonçalo Silva Nascimento Vinagre,0,0,0,172,0,0,0,1,0,0,WOL,DEF,41
690,Matija Sarkic,0,0,0,0,0,0,0,0,0,0,WOL,GKP,44
691,Morgan Gibbs-White,3,1,0,407,0,0,0,22,0,1,WOL,MID,49
692,Pedro Lomba Neto,10,5,8,2549,0,0,9,124,0,4,WOL,MID,55
693,Bruno André Cavaco Jordao,0,0,0,0,0,0,0,0,0,0,WOL,MID,43
694,Leonardo Campana,0,0,0,0,0,0,0,0,0,0,WOL,FWD,47
695,Fabio Silva,5,4,3,1352,0,0,0,72,0,2,WOL,FWD,52
696,Fernando Marçal,0,0,0,618,0,0,1,19,0,2,WOL,DEF,47
697,Vitor Ferreira,0,0,1,509,0,0,0,26,0,0,WOL,MID,47
698,Ki-Jana Hoever,0,0,0,573,0,0,0,13,0,1,WOL,DEF,44
699,Nélson Cabral Semedo,11,1,3,2983,0,0,9,109,0,5,WOL,DEF,51
700,Meritan Shabani,0,0,0,0,0,0,0,0,0,0,WOL,MID,44
701,Rayan Ait Nouri,6,1,1,1400,0,0,3,54,0,1,WOL,DEF,50
702,Owen Otasowie,0,0,1,185,0,0,0,9,0,1,WOL,MID,45
703,Theo Corbeanu,0,0,0,8,0,0,0,1,0,0,WOL,MID,44
704,Taylor Perry,0,0,0,0,0,0,0,0,0,0,WOL,MID,44
705,Luke Cundle,0,0,0,0,0,0,0,0,0,0,WOL,MID,45
706,Lewis Richards,0,0,0,0,0,0,0,0,0,0,WOL,DEF,40
707,Christian Marques,0,0,0,0,0,0,0,0,0,0,WOL,DEF,39
708,Andreas Söndergaard,0,0,0,0,0,0,0,0,0,0,WOL,GKP,40
709,Patrick Cutrone,0,0,0,23,0,0,0,2,0,0,WOL,FWD,59
710,Nigel Lonwijk,0,0,0,0,0,0,0,0,0,0,WOL,DEF,39
711,Willian José Da Silva,3,1,1,1106,0,0,5,40,0,0,WOL,FWD,68
712,Hugo Bueno,0,0,0,0,0,0,0,0,0,0,WOL,DEF,40
