,name,no_games,avg_assists,last_assists,avg_bonus,last_bonus,avg_bps,last_bps,avg_clean_sheets,last_clean_sheets,avg_creativity,last_creativity,avg_element_code,last_element_code,avg_end_cost,last_end_cost,avg_goals_conceded,last_goals_conceded,avg_goals_scored,last_goals_scored,avg_ict_index,last_ict_index,avg_influence,last_influence,avg_minutes,last_minutes,avg_own_goals,last_own_goals,avg_penalties_missed,last_penalties_missed,avg_penalties_saved,last_penalties_saved,avg_red_cards,last_red_cards,avg_saves,last_saves,avg_start_cost,last_start_cost,avg_threat,last_threat,avg_total_points,last_total_points,avg_yellow_cards,last_yellow_cards
0,N'Golo Kanté,6,2.1666666666666665,2,4.0,0,522.6666666666666,375,11.833333333333334,10,434.8500000000001,347.3,116594.0,116594,49.0,49,30.166666666666668,24,1.6666666666666667,0,108.85000000000001,89.7,457.8,449.0,2686.0,2140,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,50.0,50,194.16666666666666,96.0,87.83333333333333,62,4.833333333333333,7
0,Hakim Ziyech,1,3.0,3,8.0,8,239.0,239,10.0,10,485.6,485.6,124183.0,124183,79.0,79,7.0,7,2.0,2,112.8,112.8,274.8,274.8,1164.0,1164,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,80.0,80,369.0,369.0,70.0,70,3.0,3
0,Andreas Christensen,7,0.0,0,1.8571428571428572,9,179.71428571428572,323,3.142857142857143,8,32.385714285714286,80.9,135363.0,135363,46.857142857142854,47,11.428571428571429,17,0.0,0,24.414285714285715,40.9,176.31428571428572,293.4,831.0,1371,0.0,0,0.0,0,0.0,0,0.14285714285714285,1,0.0,0,48.57142857142857,50,35.0,34.0,28.142857142857142,61,1.1428571428571428,2
0,Timo Werner,1,12.0,12,7.0,7,394.0,394,13.0,13,532.4,532.4,165153.0,165153,92.0,92,29.0,29,6.0,6,232.5,232.5,514.8,514.8,2598.0,2598,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,95.0,95,1276.0,1276.0,128.0,128,2.0,2
0,Tammy Abraham,5,2.2,2,7.8,8,184.0,224,3.2,5,117.47999999999999,121.6,173879.0,173879,59.4,71,15.8,12,5.2,6,84.82000000000001,86.6,241.2,277.2,1001.4,1031,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,60.0,75,495.4,483.0,62.0,69,0.4,0
0,Christian Pulisic,2,5.5,3,5.5,3,321.5,264,6.5,7,402.4,378.8,176413.0,176413,78.5,83,24.5,21,6.5,4,175.2,146.2,458.8,361.4,1724.0,1731,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,80.0,85,891.5,724.0,104.5,82,1.0,2
0,Mason Mount,2,6.5,7,13.5,16,554.5,599,11.5,14,1075.45,1336.9,184341.0,184341,66.5,73,38.0,32,6.5,6,274.55,306.3,705.8,770.4,2876.0,2887,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,65.0,70,964.0,954.0,142.0,147,2.5,2
0,Fikayo Tomori,4,0.0,0,1.75,0,70.75,8,1.0,0,17.174999999999997,0.1,194794.0,194794,43.5,47,5.25,2,0.25,0,12.8,2.7,90.5,26.6,341.75,45,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,45.0,50,19.75,0.0,12.25,0,0.75,0
0,Callum Hudson-Odoi,4,2.25,3,1.5,2,132.5,239,2.5,6,239.45,471.5,209046.0,209046,48.75,57,6.25,5,0.75,2,59.95,109.9,156.25,291.8,578.5,1050,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,52.5,60,205.25,336.0,33.0,59,0.25,0
0,Reece James,2,2.5,3,10.0,15,472.5,572,7.0,9,563.05,697.3,225796.0,225796,50.0,51,26.0,29,0.5,1,127.30000000000001,162.8,435.5,527.4,1938.5,2367,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,50.0,50,271.0,399.0,86.5,112,2.0,3
0,Billy Gilmour,2,0.0,0,0.0,0,39.5,38,1.0,1,53.099999999999994,50.9,243568.0,243568,42.0,43,2.5,2,0.0,0,9.3,9.5,33.7,36.0,225.0,259,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,45.0,45,6.5,8.0,8.5,8,0.0,0
0,Benjamin Chilwell,6,2.6666666666666665,6,5.166666666666667,11,357.5,549,6.333333333333333,12,356.05,535.8,172850.0,172850,48.333333333333336,59,23.333333333333332,23,1.1666666666666667,3,92.28333333333335,148.5,388.6333333333334,545.0,1741.1666666666667,2286,0.0,0,0.0,0,0.0,0,0.16666666666666666,0,0.0,0,48.333333333333336,55,177.5,408.0,75.83333333333333,139,2.1666666666666665,3
0,Thiago Thiago,1,0.0,0,10.0,10,481.0,481,10.0,10,84.9,84.9,51090.0,51090,56.0,56,25.0,25,2.0,2,84.5,84.5,537.8,537.8,1935.0,1935,0.0,0,0.0,0,0.0,0,1.0,1,0.0,0,55.0,55,223.0,223.0,92.0,92,3.0,3
0,Kai Havertz,1,6.0,6,3.0,3,268.0,268,8.0,8,307.7,307.7,219847.0,219847,83.0,83,15.0,15,4.0,4,114.2,114.2,325.0,325.0,1512.0,1512,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,85.0,85,514.0,514.0,91.0,91,2.0,2
0,Edouard Mendy,1,0.0,0,8.0,8,613.0,613,16.0,16,0.0,0.0,228286.0,228286,53.0,53,25.0,25,0.0,0,47.2,47.2,470.2,470.2,2745.0,2745,0.0,0,0.0,0,1.0,1,0.0,0,57.0,57,50.0,50,0.0,0.0,140.0,140,2.0,2
0,Karlo Ziger,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,431019.0,431019,40.0,40,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,40.0,40,0.0,0.0,0.0,0,0.0,0
0,Faustino Anjorin,2,0.0,0,0.0,0,0.5,0,0.0,0,0.6,0.0,223332.0,223332,45.0,45,0.0,0,0.0,0,0.5,0.0,0.0,0.0,9.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,45.0,45,4.5,0.0,0.5,0,0.0,0
0,Valentino Livramento,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,441191.0,441191,40.0,40,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,40.0,40,0.0,0.0,0.0,0,0.0,0
0,Michy Batshuayi,5,1.4,2,3.0,2,115.4,113,1.2,2,55.540000000000006,113.5,94245.0,94245,70.0,57,8.8,15,3.0,2,42.88000000000001,45.5,137.16,132.8,458.8,717,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,74.0,60,240.2,210.0,38.0,41,0.0,0
0,Gary Cahill,15,1.0,1,9.266666666666667,6,209.46666666666667,308,5.733333333333333,4,19.1,90.1,19419.0,19419,53.06666666666667,45,33.2,39,1.8,1,23.220000000000002,65.7,145.84,406.2,2225.0666666666666,1800,0.06666666666666667,0,0.0,0,0.0,0,0.2,0,0.0,0,54.333333333333336,45,66.53333333333333,157.0,86.86666666666666,53,2.533333333333333,3
